input_id,out_v1,out_v2,out_v3
H001894-TSNHEC,-483453,-344190,-483453
H001895-W1IBV5,3518855,2593000,3518855
H001897-TUU2P6,5404386,1275573,5404386
H001898-EOO5CQ,-632734,-275526,-632734
H001900-O3LKFB,4400230,3597948,4400230
H001901-QBCK1F,76317,265097,76317
H001902-OEIZF8,7855627,6492701,7855627
H001903-SSYA6K,10243,627303,10243
H001904-LLUB79,-211341,-212445,-211341
H001905-D30O52,358489,2113487,358489
H001907-X0ANTN,-448673,-352789,-448673
H001908-LZSSN9,8558612,8001552,8558612
H001909-EHPTEL,1297677,886371,1297677
H001910-E87K6Q,4771565,5156665,4771565
H001911-FOI4JI,4851645,4058314,4851645
H001913-E397OZ,2602583,2460799,2602583
H001914-GX1OPP,-947767,-693180,-947767
H001915-Z758ZJ,12003238,6764187,12003238
H001916-TVE2TU,1517737,302654,1517737
H001917-2FNBHW,1136748,1077314,1136748
H001918-9ZY6E7,24206,0,24206
H001919-75XYEK,-167000,-139006,-167000
H001920-5CTLTZ,-156361,-221755,-156361
H001921-NJV5AV,5406485,5336693,5406485
H001922-SGEZ5E,1458730,0,1458730
H001923-U7PWXV,1039896,522525,1039896
H001925-LWGASQ,4555191,2466230,4555191
H001926-267HP4,6268933,5571669,6268933
H001927-7WWP4I,-370679,-445296,-370679
H001928-MN8YZG,-1019,-20486,-1019
H001930-9Q91SD,3171963,3370492,3171963
H001931-319TP7,931304,1453632,931304
H001933-232EHN,2879699,2503756,2879699
H001934-IAZ614,1967307,5908,1967307
H001936-F2CH9H,-121403,-191617,-121403
H001938-C3QJ5A,7567247,6277249,7567247
H001939-RTVYEM,4771496,2349571,4771496
H001940-1MUF33,-825041,-856877,-825041
H001941-P4MK60,-293138,-237307,-293138
H001943-VOKC57,625128,2987377,625128
H001944-5FPSJB,11158340,5901556,11158340
H001945-1DNFQO,6866476,4245500,6866476
H001946-3UDVZI,1114268,423761,1114268
H001947-XZ8KTG,0,1769460,0
H001949-3FLXH2,-147381,1217772,-147381
H001950-B699JT,0,661672,0
H001951-GV3REY,22742,1049146,22742
H001952-1L4BMZ,4175919,0,4175919
H001957-AVEZ7F,-176315,-59759,-176315
H001959-29M577,5875,11661,5875
H001960-Y4HPV8,-149845,-120400,-149845
H001961-UJR2BY,2702474,2376788,2702474
H001962-57GNTB,-182419,-264312,-182419
H001963-MCBXWG,14845,31183,14845
H001964-P5A6JF,-167438,4392247,-167438
H001965-KLKBJ9,-660045,-575794,-660045
H001966-MLKX0I,273068,46894,273068
H001967-25C6B0,1679932,7989,1679932
H001968-B26N2L,4130438,1394931,4130438
H001969-46DDBQ,558008,0,558008
H001970-QV3R9Q,4948554,2906215,4948554
H001971-5B499K,6214875,953194,6214875
H001972-GOL9KF,334087,-137467,334087
H001973-043TM2,-116034,4692391,-116034
H001974-8129YY,-178217,-181903,-178217
H001975-GJL2EH,281951,-25747,281951
H001978-A49723,14155069,8100627,14155069
H001979-5XYHK6,3032104,3026,3032104
H001980-TDRUZ5,1299840,579367,1299840
H001983-RJSJCO,-237170,-178886,-237170
H001984-Y03DKE,6235335,6284446,6235335
H001986-OJIIOT,1694617,224566,1694617
H001988-Q75R1M,6188631,2919599,6188631
H001989-FTQ9N0,970291,167421,970291
H001990-3IR1BK,5633287,4111564,5633287
H001991-J7MFG6,5466360,4753296,5466360
H001992-6KV9FP,7535506,4050877,7535506
H001993-RDTYH2,2722190,853850,2722190
H001994-N9EEDY,1907419,3001739,1907419
H001995-S5599L,-140135,-111730,-140135
H001996-E007XS,7675155,7808692,7675155
H001997-1Z1B4R,2939796,1558414,2939796
H001999-V448TC,7434194,6973908,7434194
H002000-OZAZ3M,-74726,1917744,-74726
H002001-TBXZR6,1650564,804248,1650564
H002002-Q9I6RB,8878342,1475802,8878342
H002004-DLOZ1I,-515191,-75095,-515191
H002005-H87PAV,3189908,876540,3189908
H002006-9YWTK1,2577392,1633868,2577392
H002007-XA2EW1,1654756,2488982,1654756
H002008-4CXGOV,4429842,2388952,4429842
H002009-XH6LF9,-189111,-9410,-189111
H002010-7DZRDR,3376483,7870,3376483
H002011-0T573U,-377780,-336362,-377780
H002012-LSMH3A,-144440,177490,-144440
H002013-HFJ0GG,1170678,-185233,1170678
H002015-791SY8,-240736,-214455,-240736
H002016-454B5R,6438586,4364318,6438586
H002017-A191KN,495891,2042407,495891
H002018-8PR6YK,-4937,974503,-4937
H002019-CBLFFC,5450444,5382178,5450444
H002020-X2YRU0,1334512,-58581,1334512
H002021-SM10J6,-34816,801785,-34816
H002022-CMK3BK,0,1529543,0
H002023-HRUSQT,1277828,1842022,1277828
H002024-GFC8B4,-173712,-234895,-173712
H002025-HXP16A,4606112,3281073,4606112
H002026-G6K8T5,-71349,320396,-71349
H002027-KDAHTX,-116701,-200828,-116701
H002028-5P50B6,0,292745,0
H002029-RSV2HS,772129,1231256,772129
H002033-ZYSBE5,-759002,-639504,-759002
H002034-N3C3UQ,6225274,3649474,6225274
H002035-THCQDV,-376719,-48128,-376719
H002036-VTHSON,-232291,-175354,-232291
H002037-SXOFJP,-181733,-124777,-181733
H002038-Y92NDM,-112549,1875570,-112549
H002039-CDU40O,4338058,1523185,4338058
H002040-VOVNAG,1944144,1332941,1944144
H002041-YZIWV5,759325,141164,759325
H002042-CI7DI9,96858,865034,96858
H002043-CYGCST,810769,-70235,810769
H002044-ORWHSY,3346861,9366,3346861
H002045-2ZU774,-332324,-293712,-332324
H002046-05AAY0,2017967,1522694,2017967
H002047-Q5R8GO,17968,25102,17968
H002048-GQ59A0,0,128045,0
H002049-9Q7913,2093771,2093541,2093771
H002052-TXYZVY,2086436,91370,2086436
H002054-D2SCDN,3399910,-121031,3399910
H002055-WX2F0F,7758822,3803318,7758822
H002056-LIV54V,6771179,5423484,6771179
H002057-IYUZPI,-178678,-85634,-178678
H002058-K2PC1P,-207025,-383258,-207025
H002059-E4BQ9W,-522810,-991973,-522810
H002060-0S6CIL,43050,0,43050
H002061-F06M1C,-420978,-90170,-420978
H002062-3XFHIC,3049903,3124773,3049903
H002063-7JQAV4,3250988,4211232,3250988
H002065-US79XH,-17257,1137999,-17257
H002066-08VKFK,676635,2777734,676635
H002067-2HWE2P,-586774,-549065,-586774
H002068-BJX4U7,0,235638,0
H002070-59KTCU,3750985,936886,3750985
H002071-IY44VO,863389,379622,863389
H002072-I7LCMX,5808795,5060017,5808795
H002074-0HEXEM,1237250,803655,1237250
H002075-N253O6,0,325411,0
H002078-VHULE3,9901,231268,9901
H002079-IXLBIR,-16887,1521298,-16887
H002082-3MNU05,-126814,-48331,-126814
H002083-LVTN0X,197286,2288677,197286
H002084-127A8R,4516731,3316697,4516731
H002085-R8TLAU,3527367,1788036,3527367
H002086-N344IT,3621631,-206952,3621631
H002087-W7ULYX,4118028,2509,4118028
H002088-7U2ADQ,-128074,-167380,-128074
H002089-O60017,5508445,-53349,5508445
H002090-FAFC7F,2381531,2070475,2381531
H002092-CGKDBU,5934481,3505536,5934481
H002093-JMQPNI,585108,0,585108
H002095-XKUCT3,1165776,-53613,1165776
H002096-O1XJK1,-282133,-282871,-282133
H002097-WYL62V,-56243,65513,-56243
H002099-5LMXPG,3663743,566184,3663743
H002101-PE6FN4,-90112,-135404,-90112
H002102-ASCXV0,6951014,1881561,6951014
H002103-6KX8YS,0,752345,0
H002104-JBSYGE,3055848,1221209,3055848
H002105-6BV14W,8397888,8299569,8397888
H002107-0WA0FP,8174576,4186057,8174576
H002108-4BT0SZ,12892677,9499948,12892677
H002110-D60VV9,-121114,-121876,-121114
H002111-GQYAJC,-103261,-122875,-103261
H002113-NMGV9B,110926,19443,110926
H002115-0FMNCJ,-265683,2061418,-265683
H002116-OKB9ET,0,1399742,0
H002117-RWL9DO,-939510,-636639,-939510
H002118-BAZXNX,0,180404,0
H002119-JME1TN,255206,0,255206
H002120-67T0IJ,5132094,6094379,5132094
H002121-T9T8A1,-470261,-38071,-470261
H002123-EEY8LB,5297731,5856239,5297731
H002124-FCYHM0,8219836,4383407,8219836
H002125-OAVN4V,270527,-3830,270527
H002126-PF62NY,11021936,8848427,11021936
H002128-Z2KLGZ,521935,1059336,521935
H002129-6TDK6F,4047012,2816587,4047012
H002130-L6TP06,-112597,-386114,-112597
H002132-G0NDCY,2668183,3107609,2668183
H002133-ZDZS3E,6258729,2030885,6258729
H002135-907ROS,896849,1158467,896849
H002136-FSGYCK,-105782,-132337,-105782
H002138-VC5UGA,734879,71378,734879
H002139-CJ5XUJ,931541,311628,931541
H002140-H1FAU0,-378130,-255655,-378130
H002141-F3E67J,5051959,5244625,5051959
H002142-0F9DXN,3158171,1112278,3158171
H002143-NNR2L2,-51932,-29306,-51932
H002144-POLT6R,-175181,-169735,-175181
H002145-ND4JCH,2071733,332665,2071733
H002146-PZ8M94,-114861,480366,-114861
H002147-D5L4CN,-305442,-227664,-305442
H002148-57G4VM,-594539,-351418,-594539
H002149-Z0ZA49,-3589,-70848,-3589
H002150-TF08JS,4053451,1810449,4053451
H002151-G85AKO,5154971,1043409,5154971
H002152-MOTFAG,175481,-4609,175481
H002153-303PNA,-497427,-190991,-497427
H002155-JMNVOY,-173777,-116188,-173777
H002156-ZPRKX4,2301320,1443685,2301320
H002158-8FPF77,5127548,3537464,5127548
H002159-Z0NAUM,-131211,-299791,-131211
H002161-1LMTR5,417122,8777,417122
H002162-YVH20C,273254,1521666,273254
H002163-WL972C,1311243,1327017,1311243
H002165-B7A39Z,2727376,268532,2727376
H002167-RZ0EYV,-616213,-290950,-616213
H002169-ZRBEDQ,193461,1872294,193461
H002170-WXWGWF,2969482,2563527,2969482
H002171-HI29TP,4819139,1731177,4819139
H002172-WL6V4N,4541305,4415399,4541305
H002173-TT1J9A,3154588,-7440,3154588
H002174-Q8BCVM,-428907,-180195,-428907
H002175-I9HEQ4,3959350,13408,3959350
H002177-WL0ORV,-211466,3153350,-211466
H002178-4Z31MO,-156804,-21355,-156804
H002179-9RSAMC,5498167,784155,5498167
H002180-0QEUTN,-524560,-435554,-524560
H002181-YZM4HT,-113884,820410,-113884
H002182-OZBNFW,-446771,-446743,-446771
H002183-A4JU1V,4453270,0,4453270
H002185-AFRBG3,3281338,1146705,3281338
H002187-1ESJW9,4029801,3719541,4029801
H002188-A24M1A,19207,2021921,19207
H002189-E8PBX6,2095273,1270594,2095273
H002190-6ZCJFK,9366210,5645626,9366210
H002192-YFBEJF,7728394,7001272,7728394
H002193-J8OOY6,-552861,-364852,-552861
H002194-30QD6U,2132944,5033244,2132944
H002195-0SZ2YB,0,2983352,0
H002196-TL2OVK,4275610,1970842,4275610
H002197-BLJ5ZN,-529221,-488740,-529221
H002198-AVB26E,-11325,-237861,-11325
H002200-ILVYF5,2849587,4301932,2849587
H002201-VIXU46,-71271,2374464,-71271
H002202-3X6MOT,3045259,2510379,3045259
H002203-UEF414,11825417,6404619,11825417
H002204-6JBMFQ,2967377,1573122,2967377
H002205-2YZCB5,123429,1259469,123429
H002206-B2FWPR,1972482,1597809,1972482
H002207-WNK3HW,5832205,4414006,5832205
H002209-F5CEKZ,-285391,-91359,-285391
H002210-VZN5WN,3608354,5272558,3608354
H002211-SNUC2I,-19084,1036392,-19084
H002212-LBFP2W,5947075,4100136,5947075
H002214-64ZOOF,620565,-7549,620565
H002216-HL3OGF,-103442,-95605,-103442
H002217-KTSLF9,1703741,1845497,1703741
H002219-0EDA2I,6332166,3082080,6332166
H002220-A75D0N,6206606,1570192,6206606
H002221-JRJ7MO,1258564,602680,1258564
H002222-D511WL,265901,-126743,265901
H002223-0HZ4F1,2026837,8020,2026837
H002224-DOR78E,3843866,3860275,3843866
H002225-GTN0SN,-145992,-187007,-145992
H002226-I4SHQO,278042,12009,278042
H002227-87FYWW,635856,481877,635856
H002229-U369D9,1632887,4011,1632887
H002230-9ALK7H,2852897,2140585,2852897
H002231-8569IN,-23350,-147949,-23350
H002233-S7VSNQ,-268706,-214340,-268706
H002234-GGKITT,8446837,5849499,8446837
H002235-DWTRUG,-149915,355518,-149915
H002236-R4MOKC,6468514,4496400,6468514
H002237-STWVOF,0,603886,0
H002238-YL1SBS,3379911,4620585,3379911
H002239-GZJK84,6551337,2894616,6551337
H002240-NBI0N4,5880331,6118244,5880331
H002242-RRUYH1,2165441,992810,2165441
H002243-9S2C0S,159719,465,159719
H002244-XZVFUO,14343579,9621062,14343579
H002246-UIHRGF,-294175,-288275,-294175
H002248-0IRVTA,4677162,5844733,4677162
H002249-A49SDL,-39339,1813863,-39339
H002250-BXV2RZ,4104890,3190861,4104890
H002251-JFJG2Z,-245770,-87084,-245770
H002252-5URBVL,-77771,639119,-77771
H002253-4XQ939,-363581,-682758,-363581
H002254-XMOS7O,4098831,4556598,4098831
H002255-E822ID,2236648,4253543,2236648
H002256-5S8UV2,-69615,2863379,-69615
H002257-RXBT20,6971808,3485602,6971808
H002258-V931ZL,666210,-88300,666210
H002259-D3LR5I,-51567,-5258,-51567
H002260-UK5T91,6508142,2314210,6508142
H002261-QUFLTZ,628779,292661,628779
H002262-S8DYDB,1262201,361719,1262201
H002263-GIREC3,3131361,3346861,3131361
H002264-YMUX7X,-451827,-376321,-451827
H002265-C5C2OU,4875127,2685433,4875127
H002266-WMPAZL,-133873,-65970,-133873
H002267-9N3THO,-413452,-328325,-413452
H002268-6DL0Y3,4848131,8341628,4848131
H002269-ZIFDE1,-275541,-65363,-275541
H002272-QPXVMQ,-164451,-165613,-164451
H002273-6OLMJS,9991283,6445712,9991283
H002274-BVJAT6,-163015,2370720,-163015
H002275-2R5W01,645094,-1716,645094
H002276-WJISBS,9381319,8620309,9381319
H002277-L8VP0U,5590527,17431,5590527
H002279-3ZG7GX,-996113,-826252,-996113
H002280-2UX3AV,5079740,2897271,5079740
H002281-WWNGX9,6481861,3180395,6481861
H002282-8RDZT2,2614282,592253,2614282
H002283-769NMA,825018,-35352,825018
H002287-82H1WZ,-177052,-140347,-177052
H002288-KPTJ5M,1014360,10735,1014360
H002289-30GP21,-715015,2188017,-715015
H002290-MB3CEC,5148852,6848263,5148852
H002291-K5Q840,156355,323814,156355
H002292-V0PV8T,11185175,9961956,11185175
H002293-EOXGID,2233871,85867,2233871
H002294-S4JTFC,1477676,921491,1477676
H002295-9E9IX4,-21489,-77241,-21489
H002296-57VQ46,11088,369498,11088
H002297-0O3DQD,2063876,644652,2063876
H002298-W157N3,-308334,1081811,-308334
H002300-YU45EA,9597000,4702242,9597000
H002301-ZCF8PM,3967633,1270213,3967633
H002302-ZN48M4,1511730,2044740,1511730
H002303-6GQR2N,2060157,10204,2060157
H002305-FYB9FX,5736582,2804558,5736582
H002306-KWDBBI,-66114,-72557,-66114
H002308-CYORI6,3218482,3132426,3218482
H002309-RXTD9G,6252006,9685990,6252006
H002312-KMCL4H,1623026,2602395,1623026
H002313-544EEX,2195664,1474380,2195664
H002314-NOPX99,1577826,2781805,1577826
H002315-KF5ZKE,7379988,4360831,7379988
H002316-B3NPKV,653194,-74975,653194
H002317-RWCQ1M,-83191,-41997,-83191
H002318-NSE58J,-616340,-422703,-616340
H002319-8NSUA5,-16072,-250767,-16072
H002320-TPZ0RM,574600,622835,574600
H002321-7N8FZ1,-214054,-161481,-214054
H002322-CY9F9T,5434961,5461710,5434961
H002323-CBDAYG,2506247,659869,2506247
H002324-ZGTTN6,-169625,-357577,-169625
H002326-4DE18C,5365649,3167133,5365649
H002327-IG7BR0,-176329,-5989,-176329
H002329-VFVRRH,960404,4264,960404
H002331-CAE23C,1161977,1796080,1161977
H002332-OL92OB,-179587,-237328,-179587
H002333-1X8LLQ,-328888,-429767,-328888
H002334-HLASMF,2972795,2297530,2972795
H002335-U9495G,-165654,-21810,-165654
H002337-9N1XNY,-82626,744031,-82626
H002338-QVX5BO,1911996,592841,1911996
H002339-8AOUH6,-615661,-306796,-615661
H002340-PAF0RR,-311753,-291379,-311753
H002341-3XO9TR,5710458,4809452,5710458
H002343-GWH4VX,-146709,-161961,-146709
H002346-E6B5MY,-253902,-135717,-253902
H002348-ES9SC6,-197584,-313003,-197584
H002349-RA0IQH,12477784,11044978,12477784
H002351-9ETLKH,5841779,3130885,5841779
H002352-6A2WG0,8320734,839622,8320734
H002353-VQ3QOO,4439047,1390220,4439047
H002355-93AKI7,-636,1295866,-636
H002356-VLK74V,-319677,-230504,-319677
H002357-SHXGIQ,-71111,-122302,-71111
H002358-M23KGV,-241278,-96954,-241278
H002360-XU4MSL,151342,457617,151342
H002363-62NPEJ,620959,-77312,620959
H002365-F7RCTV,-17604,-23093,-17604
H002367-WG4HZC,-444516,-72480,-444516
H002368-EV47W2,6469799,7476674,6469799
H002369-JWCKSB,6882,601034,6882
H002370-16PW3W,-530551,-582543,-530551
H002372-E3VVEH,4241943,509321,4241943
H002373-YPFKYM,-43580,-24869,-43580
H002374-ATUB31,585106,558515,585106
H002375-850PPB,220924,193570,220924
H002376-210JJE,5283,565831,5283
H002377-39PVX2,22558,2185896,22558
H002378-4VQ76A,2259000,-43,2259000
H002380-YSZTXP,3662829,2998815,3662829
H002383-O3WGHY,5338906,3413718,5338906
H002384-23NCT8,-439085,-514871,-439085
H002385-16W71A,-201429,-67057,-201429
H002386-W08BMW,6195433,5676997,6195433
H002387-H6L9BQ,1124705,2848458,1124705
H002388-JIOZ0M,4213004,4079055,4213004
H002389-2O6T7I,-83518,-179782,-83518
H002390-IW3BUA,-287522,-167231,-287522
H002392-W87RNG,1667174,769519,1667174
H002393-Q0F0WV,5121282,6014,5121282
H002394-H9CB8G,742587,127834,742587
H002395-SYK8ZI,7127839,6826683,7127839
H002396-XZIFV7,380986,759178,380986
H002397-YYVJOK,990669,1627880,990669
H002398-88VH5T,5226322,1284862,5226322
H002399-GUVJ51,7922819,2449991,7922819
H002400-A5GG7Z,-229840,-185518,-229840
H002401-75J8OZ,241381,-96911,241381
H002402-DUA3LF,151396,1892693,151396
H002403-6FW2VW,1159933,0,1159933
H002404-67Q9UP,7140546,4541090,7140546
H002405-7TU6N7,5451848,5853700,5451848
H002407-H9ICUF,2015901,2186556,2015901
H002408-T0XJ3E,439929,22038,439929
H002409-8BS9TJ,-497152,-279722,-497152
H002410-TWCHI8,1369489,3082511,1369489
H002411-26DUCQ,4493010,4542896,4493010
H002412-J5UMJN,9188984,7802589,9188984
H002414-N6RATO,4733790,3030616,4733790
H002415-XSL2LP,2910385,321495,2910385
H002417-1XGXZ0,875481,106422,875481
H002418-2RBD5Z,2021299,1761676,2021299
H002419-SSEMMH,4968641,10721751,4968641
H002420-QG4LQ9,3283760,-13643,3283760
H002422-X1PWKY,-95874,-243172,-95874
H002424-BD71BY,-454253,-139225,-454253
H002425-2RDZNR,1081983,1304962,1081983
H002426-YZFFEA,-163660,-123891,-163660
H002427-Z2RL9G,-338494,-216400,-338494
H002428-DH8528,-148545,-49159,-148545
H002431-JF1485,4169496,4160239,4169496
H002432-SXE8BQ,9174579,8712367,9174579
H002435-7YTK9M,197455,4009,197455
H002436-4MKADF,4166737,790818,4166737
H002437-4R9X31,3663977,1678720,3663977
H002438-HXN8LD,-231171,-231978,-231171
H002439-NJCPVL,3219001,3342653,3219001
H002440-7BUIP2,9952942,6588117,9952942
H002441-FQOC97,7029457,5999129,7029457
H002442-JT9O55,5898986,6649543,5898986
H002443-HEDYSG,4292479,2287625,4292479
H002444-MC1N1J,-8216,16780,-8216
H002445-LKUEI7,2413837,109412,2413837
H002446-3CSFG2,6082999,4492389,6082999
H002447-6TOOR9,1102466,1335336,1102466
H002448-WLEONX,663078,1587029,663078
H002449-7D37OE,3898932,1980428,3898932
H002450-FH2CKQ,10122533,7110620,10122533
H002451-QYJ2Y0,-170683,-141938,-170683
H002452-G7GL6A,5057910,1582904,5057910
H002453-ID1HMC,1526202,972357,1526202
H002454-1MN2OX,-162050,-311153,-162050
H002455-N4QKR8,2162481,436159,2162481
H002456-DFI21P,768121,-35055,768121
H002457-EYQGP7,2267204,811054,2267204
H002458-D6ETMJ,4260,1067613,4260
H002459-5NFG99,-472402,-378031,-472402
H002461-K6R2IR,-124458,-25388,-124458
H002462-NVQ9HV,2358472,1583524,2358472
H002463-88BTD4,2011,2165843,2011
H002464-7YJIOS,-136097,-115634,-136097
H002465-2ENG5C,-236576,-122328,-236576
H002466-NUKWGJ,3344626,486444,3344626
H002467-HRW7AZ,470926,0,470926
H002468-46T8JC,-246072,-200773,-246072
H002469-WQ0FPI,6267542,2508432,6267542
H002471-NCY2EZ,2697294,1819285,2697294
H002472-KLWIOB,11365614,7195090,11365614
H002473-SH404Y,1347186,1839123,1347186
H002474-BYKREN,1371946,6754348,1371946
H002475-1EVKXC,6733845,270153,6733845
H002476-Z70OQ7,2031706,1814636,2031706
H002478-F0ZMPH,3283973,3917731,3283973
H002479-R37K3P,2790255,3924638,2790255
H002480-UD5EN2,184783,3656662,184783
H002483-6NS0P7,9989196,10263133,9989196
H002484-O71C5J,595040,3734119,595040
H002485-UPO1JB,83918,-6053,83918
H002487-NAP610,-450737,-463156,-450737
H002488-CCB2JX,-236695,-304833,-236695
H002490-1R1UAG,-14186,-3275,-14186
H002491-7FEFIJ,3909875,2112440,3909875
H002494-ALGFQY,-480030,-426344,-480030
H002495-93BPGB,6828841,3245385,6828841
H002496-5ZWVM6,2153881,936251,2153881
H002497-NPK1IO,1872320,2201275,1872320
H002498-BLFJA0,5995827,1656944,5995827
H002499-IP2TSJ,360684,677315,360684
H002500-Z3Z596,45163,4711393,45163
H002501-9V8T8F,-124984,-57280,-124984
H002502-71YB36,4153316,3174840,4153316
H002503-Y9XMRX,3268574,-88638,3268574
H002504-GHETNG,2086939,3002617,2086939
H002506-ROIVKC,2377409,2539181,2377409
H002507-NT2LO7,-92947,-137250,-92947
H002508-AVI27O,864,3021970,864
H002509-7WDA9H,-73392,-53419,-73392
H002511-5JR2AX,3101164,1900221,3101164
H002513-8Z7MC4,-54695,-27351,-54695
H002515-PSJRR8,-448077,-422089,-448077
H002517-6T7JWC,5686630,4400891,5686630
H002519-5J7MK3,699,198312,699
H002521-9CF8PS,232232,595108,232232
H002523-7BZ6PK,3466132,2778053,3466132
H002524-L0QXBH,1257613,687035,1257613
H002525-THEBT3,3226360,3117045,3226360
H002526-TR7FGW,2160313,2036845,2160313
H002527-SO6DD6,2350966,977801,2350966
H002530-LXGXNJ,785149,-10522,785149
H002531-HKLGR6,1097810,11432,1097810
H002532-RKDABN,5027311,3644953,5027311
H002534-0WPLX1,5270578,5700250,5270578
H002535-KKZ1E1,-131139,-2524,-131139
H002536-FLJSXT,603877,971354,603877
H002537-JKRM9M,7661329,4806899,7661329
H002538-O31NJB,79640,-544,79640
H002539-HQ83KH,11743069,6581583,11743069
H002540-223LYW,6178801,5894109,6178801
H002541-S3LMW3,362557,11068,362557
H002542-Y1M6NA,4118892,2699658,4118892
H002543-9DNT5F,-36989,121307,-36989
H002546-A110AO,4321047,1068708,4321047
H002547-G3YLBP,3361758,3105716,3361758
H002548-F40S5B,0,1374344,0
H002549-OQAKHI,634825,966983,634825
H002550-DBXTQM,-351503,-157904,-351503
H002551-YKIEI0,3999,810178,3999
H002552-JKDCMW,601390,-294130,601390
H002553-94FUK0,-168317,-182341,-168317
H002554-ST6YWB,2590293,2687,2590293
H002555-LDAAWC,-198271,-211550,-198271
H002556-PMX7RM,-235126,-85103,-235126
H002557-GHSUZY,6845,122379,6845
H002558-COKQD2,-328292,-321056,-328292
H002559-Y8YJKH,4091492,1568203,4091492
H002560-MRVTX7,5815,37194,5815
H002561-K0D2YN,-360299,-500243,-360299
H002562-1NIU4Y,671250,1294568,671250
H002563-BRDKQK,-52787,-72239,-52787
H002565-0HE3EA,471215,-5473,471215
H002566-VZJ6OM,4306147,1110861,4306147
H002567-1A8N92,1543505,1706936,1543505
H002568-H24CWV,671926,0,671926
H002569-B6W1N4,3480209,1822864,3480209
H002570-WBI0DV,4011,2490358,4011
H002571-4R20I4,2077082,988451,2077082
H002572-FVMS74,-105433,-57068,-105433
H002575-MMJX2V,-28978,-186919,-28978
H002576-TCJU8L,2983743,0,2983743
H002577-A0HUIR,8326749,5193502,8326749
H002578-NIPYJX,5814278,15335,5814278
H002580-QYRP49,8451556,6410666,8451556
H002581-TT3EAX,174558,-162828,174558
H002582-ACX6B6,-147573,-116476,-147573
H002584-BLIF2X,142056,788821,142056
H002585-FOONZ0,-201514,-63084,-201514
H002586-7XDMI7,1717134,2349487,1717134
H002587-9R1OZV,0,922488,0
H002588-JBVHEU,288904,275867,288904
H002589-9IBKJI,-298945,-509036,-298945
H002590-TE5NPJ,-185310,-50007,-185310
H002591-GS8GE1,2761937,284071,2761937
H002592-Z0E8QU,11021300,7863615,11021300
H002593-CYEKCE,6042847,4948372,6042847
H002594-PRW7B3,-726093,-454167,-726093
H002596-TY4NQ1,3787264,2469058,3787264
H002598-VDW89E,2181608,1745199,2181608
H002599-WKBVL5,-504154,-394078,-504154
H002601-GMGDDN,-193851,1462637,-193851
H002605-YW9L37,6580160,7074562,6580160
H002606-WBDP2B,11898313,9686113,11898313
H002608-5GOXMB,-147931,-154633,-147931
H002611-D79IVP,94795,0,94795
H002614-06YC5C,2541463,3571550,2541463
H002615-7VROL7,350038,-249180,350038
H002616-APBMWC,531523,-1864,531523
H002617-7ZE0HH,1853382,3190317,1853382
H002618-P14474,7494885,3350555,7494885
H002619-KKZH4T,5743954,6086520,5743954
H002620-PCA1NB,4060590,3425860,4060590
H002622-VOOPP6,-111499,-165942,-111499
H002623-EVQW99,1544180,48811,1544180
H002625-U80N6A,2051938,0,2051938
H002626-C1E5HN,2005510,86807,2005510
H002627-SVQWLN,4639992,5329024,4639992
H002629-1PTDA7,4965640,4609644,4965640
H002630-CYE1SC,-117241,-280948,-117241
H002632-1D8R5I,1068405,3354033,1068405
H002634-M9HPP7,6655461,4489792,6655461
H002635-AVV3VB,5982988,3006528,5982988
H002637-SVJM3M,590852,1190541,590852
H002640-B8GL3D,10698,289229,10698
H002641-KH4EQC,7882402,8567315,7882402
H002642-LXPW6X,-81145,1512,-81145
H002645-PN9669,7667281,7504589,7667281
H002646-5FFDZT,621625,2110393,621625
H002647-DSF2W9,-183605,-224238,-183605
H002648-5G2P6F,332708,-129193,332708
H002649-TZCO86,2369481,289832,2369481
H002650-WHKHQM,5144670,4706542,5144670
H002651-1EVBNL,-457454,-364814,-457454
H002652-0IONY9,4820431,3476688,4820431
H002654-W7ZEGN,-268250,-144883,-268250
H002655-AW92WP,5832289,4680612,5832289
H002656-TD5M6R,1067436,-97643,1067436
H002658-J6US5I,1887819,79422,1887819
H002659-8Q1LVY,-233964,-188755,-233964
H002660-M0YFCU,271218,3146108,271218
H002661-UOHB6J,7013869,9661366,7013869
H002663-EQA3X6,-1019899,-684712,-1019899
H002664-LD3TZK,3375091,657308,3375091
H002665-KCERGG,8318140,4483818,8318140
H002666-C04MGN,3210262,1623154,3210262
H002667-JBUWUM,10856969,13450222,10856969
H002669-1WKLGD,2308,774733,2308
H002671-24BX4I,1846185,928451,1846185
H002673-TEL0BX,-570358,-547822,-570358
H002674-KQKBUO,-10056,-144745,-10056
H002675-C39DV6,3256546,4780745,3256546
H002676-HBKV3Y,2876765,1698013,2876765
H002677-RH9TG5,-292287,-171099,-292287
H002678-5QLSCD,1541447,2034220,1541447
H002679-OPG1Q9,-14505,-63544,-14505
H002680-1LJ999,5919650,5761777,5919650
H002681-OTVVRK,-51418,1201580,-51418
H002682-UW7CGS,-208754,-102782,-208754
H002683-5AKK7R,668545,2504392,668545
H002685-1WWZ9Y,9994054,7587795,9994054
H002686-YOA4XL,1830473,2155745,1830473
H002687-V5Z615,1085773,261289,1085773
H002688-BGRETN,6391642,5456054,6391642
H002689-22UMMR,1205949,2976411,1205949
H002692-O05D0Y,-689168,-685990,-689168
H002693-F4RP0U,360719,-50266,360719
